Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
CBO,Common Stock,NYSE LISTED TEST STOCK FOR CTS AND CQS,NYSE LISTED TEST STOCK FOR CTS AND CQS,1374310,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,6/30/21,None,None,None,None,None,None,0.0057,None,0,0,0,0,0,0,0,0,0,0,None,-,-,-,-,-,-,None,25.05,24.9,13.3,8.04,0,None,None
NXRT,Common Stock,Nexpoint Residential Trust Inc,"NexPoint Residential Trust is a publicly traded REIT, with its shares listed on the New York Stock Exchange under the symbol NXRT, primarily focused on acquiring, owning and operating well-located middle-income multifamily properties with value-added potential in large cities and suburbs. Submarkets in large cities, mainly in the southeastern and southwestern United States. ",1620393,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"300 CRESCENT COURT, SUITE 700, DALLAS, TX, US",December,6/30/23,1661309000,140399000,None,-36.54,19.02,1.64,0.0522,-0.18,10.79,-0.0168,0.163,0.0126,-0.0092,276196000,153185000,-0.18,-0.894,0.058,49.33,-,29.33,8.83,2.199,10.89,14.93,1.092,51.22,31.11,37.32,42.91,25674300,9/29/23,9/14/23
VANI,Common Stock,Vivani Medical Inc.,None,1266806,NASDAQ,USD,USA,LIFE SCIENCES,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,"12744 SAN FERNANDO ROAD, BLDG. 3, SYLMAR, CA, US",December,6/30/23,47261500,-26451000,None,None,0.638,0,0,-0.38,0,0,0,-0.508,-1.357,0,130000,-0.38,0,0,4,-,-,-,1.59,-,-1.88,None,2.575,0.754,1.172,1.194,50819000,1/6/20,None
USGO,Common Stock,U.S. GoldMining Inc. Common stock,"U.S. GoldMining Inc., an exploration stage company, engages in the exploration and development of mineral properties in the United States. The company is headquartered in Anchorage, Alaska.",1947244,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,GOLD AND SILVER ORES,"1030 WEST GEORGIA STREET, SUITE 1830, VANCOUVER, BC, CA",November,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,None,-,-,-,-,-,-,None,17.24,6.45,0,0,0,None,None
COLD,Common Stock,Americold Realty Trust,"Americold is the world's largest publicly traded REIT, focusing on the ownership, operation, acquisition and development of temperature controlled warehouses. ",1455863,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"10 GLENLAKE PKWY., SUITE 800 S. TOWER, ATLANTA, GA, US",December,6/30/23,9089145000,471112000,None,4.026,13.23,0.88,0.0262,-0.4,10.35,-0.0405,0.0476,0.0102,-0.0287,2795549000,682509000,-0.4,-0.667,-0.11,35.67,-,121.95,2.663,2.061,3.882,29.19,0.544,33.66,20.86,32.34,30.24,270164000,10/13/23,6/29/23
EVER,Common Stock,EverQuote Inc Class A,"EverQuote, Inc. operates an online marketplace for purchasing insurance in the United States. The company is headquartered in Cambridge, Massachusetts.",1640428,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","210 BROADWAY, CAMBRIDGE, MA, US",December,6/30/23,236567000,-24873000,None,0,3.163,0,0,-0.94,11.32,-0.0832,-0.0759,-0.114,-0.29,368736000,380147000,-0.94,0,-0.333,8.5,-,34.6,0.828,3.526,0.835,-14.84,1.153,18.86,5.23,6.38,10.2,27762000,5/19/17,None
SRT,Common Stock,StarTek Inc,"StarTek, Inc., a business process outsourcing company, provides omnichannel customer experience, digital transformation, and technology services in multiple markets. The company is headquartered in Greenwood Village, Colorado.",1031029,NYSE,USD,USA,TRADE & SERVICES,SERVICES-HELP SUPPLY SERVICES,"6200 SOUTH SYRACUSE WAY, SUITE 485, GREENWOOD VILLAGE, CO, US",December,6/30/23,130981000,31726000,None,8.04,4.849,0,0,-0.06,9.21,0.008,0.026,0.0117,-0.0114,371121000,57797000,-0.06,2.508,-0.051,4.75,-,6.43,0.214,0.828,0.477,6.57,1.43,4.53,2.64,3.156,3.42,40301800,11/27/06,11/13/06
RWT,Common Stock,Redwood Trust Inc,"Redwood Trust, Inc., is a specialized finance company in the United States. The company is headquartered in Mill Valley, California.",930236,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"ONE BELVEDERE PLACE, SUITE 300, MILL VALLEY, CA, US",December,6/30/23,814496000,None,None,1.39,9.26,0.85,0.0905,-0.82,0.648,-1.175,-1.265,-0.0065,-0.073,74050000,-27551000,-0.82,-0.935,-0.337,8.64,-,8.16,8.52,0.72,-,-,1.418,8.12,4.915,7.58,7.04,114235000,9/29/23,9/21/23
DM,Common Stock,Desktop Metal Inc,"Desktop Metal, Inc. manufactures and sells additive manufacturing solutions for engineers, designers, and fabricators in the Americas, Europe, the Middle East, Africa, and Asia-Pacific. The company is headquartered in Burlington, Massachusetts.",1754820,NYSE,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","405 LEXINGTON AVENUE, 48TH FLOOR, NEW YORK, NY, US",December,6/30/23,565373000,-133211000,None,None,1.378,0,0,-1.48,0.635,-2.351,-0.916,-0.13,-0.723,202245000,20988000,-1.48,0,-0.076,2.5,-,-,2.291,0.665,2.223,-1.056,0.615,2.894,1.13,1.735,1.86,323070000,None,None
MHH,Common Stock,Mastech Holdings Inc,"Mastech Digital, Inc. provides digital transformation IT services to large, medium, and small businesses in the United States. The company is headquartered in Pittsburgh, Pennsylvania.",1437226,NYSE MKT,USD,USA,TRADE & SERVICES,SERVICES-MANAGEMENT CONSULTING SERVICES,"1305 CHERRINGTON PARKWAY, BUILDING 210, SUITE 400, MOON TOWNSHIP, PA, US",December,6/30/23,104364000,8541000,52.94,0.441,7.36,0,0,0.17,19.58,0.0089,0.0195,0.0241,0.0243,227633000,63183000,0.17,-0.895,-0.16,25.25,52.94,8.83,0.618,1.76,0.621,7.97,0.652,15.96,8.5,10.32,11,11596000,12/20/13,12/5/13
FZT,Common Stock,FAST Acquisition II Corp,"FAST Acquisition Corp. The company is headquartered in Ridgefield, Connecticut.",1839824,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,"109 OLD BRANCHVILLE ROAD, RIDGEFIELD, CT, US",December,6/30/23,134428000,None,None,None,-1.73,0,0,-0.17,0,0,0,-0.0171,-1.291,0,0,-0.17,-0.378,0,None,-,-,-,1.332,-,432.33,0.0214,15.27,9.82,10.51,10.24,7135500,None,None
HTBI,Common Stock,HomeTrust Bancshares Inc,"HomeTrust Bancshares, Inc. is the banking holding company for HomeTrust Bank offering a range of retail and commercial banking products and services. The company is headquartered in Asheville, North Carolina.",1538263,NASDAQ,USD,USA,FINANCE,"SAVINGS INSTITUTION, FEDERALLY CHARTERED","10 WOODFIN STREET, ASHEVILLE, NC, US",June,6/30/23,376695000,None,7.77,2.62,27.36,0.39,0.0184,2.79,11.03,0.258,0.384,0.0109,0.104,173073000,150562000,2.79,1.315,0.433,28.5,7.77,8.98,2.515,0.977,-,-,0.659,30.5,17.85,23.39,23.63,17367200,8/31/23,8/16/23
SCCO,Common Stock,Southern Copper Corporation,"Southern Copper Corporation is engaged in the extraction, exploration, smelting and refining of copper and other minerals in Peru, Mexico, Argentina, Ecuador and Chile. ",1001838,NYSE,USD,USA,ENERGY & TRANSPORTATION,METAL MINING,"1440 E. MISSOURI AVENUE, SUITE 160, PHOENIX, AZ, US",December,6/30/23,58207302000,5215200000,20.86,1.2,10.22,3.25,0.0533,3.61,13.03,0.276,0.438,0.162,0.357,10071800000,5514300000,3.61,0.266,-0.003,64.23,20.86,44.64,4.606,6.26,5.24,9.63,1.295,86.55,43.06,80.12,74.25,773108000,8/23/23,8/8/23
BBW,Common Stock,Build-A-Bear Workshop Inc,"Build-A-Bear Workshop, Inc. is a multi-channel retailer of stuffed animals and related products. The company is headquartered in St. Louis, Missouri.",1113809,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-HOBBY, TOY & GAME SHOPS","1954 INNERBELT BUSINESS CENTRE DRIVE, ST LOUIS, MO, US",January,7/31/23,427374000,78791000,8.4,0.55,7.6,0,0.0532,3.5,33.09,0.106,0.138,0.159,0.505,478865000,245872000,3.5,0.5,0.085,39.67,8.4,7.99,0.818,3.898,1.012,8.2,1.937,30.49,12.27,26.07,23.5,14531600,4/6/23,3/22/23
GTY,Common Stock,Getty Realty Corporation,Getty Realty Corp. ,1052752,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE,"2 JERICHO PLAZA, SUITE 110, JERICHO, NY, US",December,6/30/23,1400398000,135253000,19.67,0,17.03,1.7,0.0623,1.41,3.636,0.395,0.538,0.0371,0.0844,172807000,144035000,1.41,-0.594,0.085,35.8,19.67,-,9.93,2.129,13.81,14.74,0.894,35.11,24.97,30.53,33.43,50501000,10/12/23,9/27/23
ICMB,Common Stock,Investcorp Credit Management BDC Inc,None,1578348,NASDAQ,USD,USA,TECHNOLOGY,GENERAL,NONE,June,3/31/23,58431000,None,None,None,6.13,0.56,0.132,-0.21,1.801,-0.113,0.709,0.0447,-0.031,25905700,24431400,-0.21,-0.821,0.184,6.5,-,-,2.339,0.621,41.67,-,1.859,4.5,2.869,3.894,3.797,14391800,7/7/23,6/15/23
DAWN,Common Stock,Day One Biopharmaceuticals Inc,"Day One Biopharmaceuticals, Inc., a clinical-stage biopharmaceutical company, develops and markets targeted therapies for patients with genetically defined cancers. The company is headquartered in South San Francisco, California.",1845337,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"395 OYSTER POINT BLVD STE 217, SOUTH SAN FRANCISCO, CA, US",December,6/30/23,1215024000,-177488000,None,None,4.899,0,0,-2.37,0,0,0,-0.26,-0.407,0,0,-2.37,0,0,38.78,-,-,-,4.153,-,-9.02,-2.024,25.77,10.84,12.71,16.26,86974000,None,None
MAIN,Common Stock,Main Street Capital Corporation,None,1396440,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,6/30/23,3349050000,None,9.11,2.09,27.69,2.655,0.0694,4.46,5.88,0.756,0.872,0.0608,0.169,460102000,376860000,4.46,5.55,0.497,44,9.11,10.1,8.32,1.433,10.52,15.6,1.291,42.39,29.19,40.87,39.76,82428000,12/15/23,10/5/23
UONE,Common Stock,Urban One,"Urban One, Inc., is an urban-oriented multimedia company in the United States. The company is headquartered in Silver Spring, Maryland.",1041657,NASDAQ,USD,USA,TECHNOLOGY,RADIO BROADCASTING STATIONS,"1010 WAYNE AVENUE, 14TH FL, SILVER SPRING, MD, US",December,3/31/23,242315000,149784000,7.07,0,6.96,0,0,0.71,9.9,0.077,0.279,0.0634,0.117,484604000,322370000,0.71,-0.604,0.017,None,7.07,-,0.453,0.953,1.965,4.96,0.966,8.04,4.33,5.42,6.2,9853700,None,None
AIV,Common Stock,Apartment Investment and Management Co,"Aimco is a Real Estate Investment Trust focused on property development, redevelopment, and various other value-creating investment strategies targeting the US multi-family market. ",922864,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"4582 SOUTH ULSTER STREET, SUITE 1100, DENVER, CO, US",December,6/30/23,1009718000,73486000,None,839.32,3.633,0,0.0545,-1.16,1.225,-1.022,0.138,0.0067,-0.215,180169000,119131000,-1.16,-0.632,-0.097,40,-,714.29,6.14,1.59,10.5,3.64,1.478,8.93,6.46,7.79,7.82,147829000,9/30/22,9/13/22
NUS,Common Stock,Nu Skin Enterprises Inc,"Nu Skin Enterprises, Inc. develops and distributes wellness and personal care products globally. The company is headquartered in Provo, Utah.",1021561,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES","75 WEST CENTER ST, ATTN: GREGORY BELLISTON, PROVO, UT, US",December,6/30/23,1059630000,194015000,15.15,2.35,17.91,1.55,0.0724,1.4,41,0.0343,0.0607,0.0409,0.0763,2041864000,1594744000,1.4,-0.196,-0.108,31.5,15.15,-,0.825,2.435,0.945,8.7,1.19,43.88,20.98,25.01,35.26,49959000,9/6/23,8/24/23
VTGN,Common Stock,VistaGen Therapeutics Inc,"VistaGen Therapeutics, Inc., a clinical-stage biopharmaceutical company, is dedicated to developing and commercializing several drugs with the potential to treat anxiety, depression, and other central nervous system (CNS) disorders. The company is headquartered in South San Francisco, California.",1411685,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"343 ALLERTON AVENUE, SOUTH SAN FRANCISCO, CA, US",March,6/30/23,49059200,-46364000,None,0,0.87,0,0,-6.36,-0.051,0,129.22,-0.788,-1.753,-359800,-227300,-6.36,0,-0.427,30,-,-,23.15,0.838,44.96,0.131,0.467,13.05,1.62,5.12,4.324,9362400,None,None
PNNT,Common Stock,PennantPark Investment Corporation,None,1383414,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,September,6/30/23,429177000,None,None,0.279,7.72,0.7,0.117,-1.23,2.15,-0.578,0.804,0.0545,-0.143,140254000,104966000,-1.23,0.578,0.928,7.06,-,7.59,3.629,0.664,18.86,19.07,1.607,6.85,4.4,6.57,5.85,65224000,4/1/22,9/15/23
GDDY,Common Stock,Godaddy Inc,"GoDaddy Inc. is dedicated to the design and development of cloud-based technology products in the United States and internationally. The company is headquartered in Scottsdale, Arizona.",1609711,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,"14455 N. HAYDEN ROAD, SCOTTSDALE, AZ, US",December,6/30/23,10957498000,712300000,37.05,1.559,-4.499,0,0,2.01,26.93,0.0778,0.126,0.0477,0.68,4157200000,2606800000,2.01,-0.036,0.032,92.4,37.05,40.49,2.799,24.35,3.71,22.1,0.955,85.32,64.65,73.07,74.91,146812000,None,None
CRAI,Common Stock,CRA International Inc,"CRA International, Inc., a consulting firm, provides economic, financial and management consulting services in the United States, the United Kingdom, and internationally. The company is headquartered in Boston, Massachusetts.",1053706,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-LEGAL SERVICES,"200 CLARENDON STREET, T-9, BOSTON, MA, US",December,6/30/23,716276000,70643000,19.01,1.148,29.1,1.39,0.0141,5.38,85.81,0.0641,0.0968,0.067,0.195,608227000,181876000,5.38,-0.146,0.086,131.5,19.01,18.38,1.391,4.06,1.653,11.05,1.257,126.78,86.63,106.01,108.58,7001700,9/8/23,8/28/23
PTN,Common Stock,Palatin Technologies Inc,"Palatin Technologies, Inc., a specialty biopharmaceutical company, develops targeted receptor-specific therapies for the treatment of various diseases in the United States. The company is headquartered in Cranbury, New Jersey.",911216,NYSE MKT,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"4B CEDAR BROOK DRIVE, CRANBURY, NJ, US",June,6/30/23,17400500,-35519496,None,0,0.86,0,0,-3.17,0.373,0,-9.26,-0.644,-1.571,3862500,-20076506,-3.17,0,4.533,43,-,-,15.68,4.252,7.24,-0.425,0.951,6.4,1.43,2.088,2.614,11523500,None,None
GDOT,Common Stock,Green Dot Corporation,"Green Dot Corporation is a banking and fintech holding company in the United States. The company is headquartered in Pasadena, California.",1386278,NYSE,USD,USA,FINANCE,FINANCE SERVICES,"3465 E. FOOTHILL BLVD, PASADENA, CA, US",December,6/30/23,729187000,170648000,14.82,1.49,16.07,0,0,0.94,28.07,0.0322,0.0527,0.0102,0.0539,1466415000,1449311000,0.94,-0.964,0.008,20.33,14.82,23.64,0.635,1.224,0.105,1.025,1.068,21.37,13.05,15.87,17.19,52346000,None,None
MTX,Common Stock,Minerals Technologies Inc,"Minerals Technologies Inc. develops, produces and markets a variety of specialty mineral, synthetic mineral and mineral products, and supporting systems and services. The company is headquartered in New York, New York.",891014,NYSE,USD,USA,LIFE SCIENCES,INDUSTRIAL INORGANIC CHEMICALS,"622 THIRD AVENUE, NEW YORK, NY, US",December,6/30/23,1782098000,338400000,18.25,2.264,49.98,0.2,0.0036,3,66.16,0.0451,0.114,0.0449,0.0628,2147000000,465000000,3,-0.398,-0.01,76,18.25,10.25,0.9,1.308,1.338,8.91,1.31,73.38,49.54,57.61,59.2,32543800,9/8/23,8/17/23
WAFD,Common Stock,Washington Federal Inc,"Washington Federal, Inc. is the banking holding company for Washington Federal Bank, a National Association that provides loans, deposits, insurance, and other banking services in the United States. The company is headquartered in Seattle, Washington.",936528,NASDAQ,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"425 PIKE STREET, SEATTLE, WA, US",September,6/30/23,1658370000,None,6.29,1.67,32.35,1,0.0393,4.07,11.26,0.381,0.508,0.0131,0.122,736005000,657961000,4.07,-0.022,0.039,33,6.29,-,3.265,1.107,-,-,0.853,37.92,23.46,28.03,30.06,64730000,9/8/23,8/24/23
EPR,Common Stock,EPR Properties,"EPR Properties is a leading experiential net lease real estate investment trust (REIT), specializing in select and durable experimental properties in the real estate industry. ",1045450,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"909 WALNUT STREET, SUITE 200, KANSAS CITY, MO, US",December,6/30/23,3128976000,540357000,22.21,2.93,32.96,3.3,0.0795,1.87,9.03,0.242,0.55,0.0406,0.0648,678013000,599376000,1.87,-0.783,0.063,48.15,22.21,17.45,4.832,1.228,9.41,12.69,1.652,46.81,32.39,43.46,41.85,75324000,10/16/23,9/28/23
CGNX,Common Stock,Cognex Corporation,"Cognex Corporation offers machine vision products that capture and analyze visual information to automate manufacturing and distribution tasks globally. The company is headquartered in Natick, Massachusetts.",851205,NASDAQ,USD,USA,LIFE SCIENCES,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL","ONE VISION DR, NATICK, MA, US",December,6/30/23,7294885000,203936000,42.77,2.04,8.59,0.275,0.0067,0.99,5.17,0.193,0.206,0.0584,0.12,892691000,721905000,0.99,-0.028,-0.117,52.79,42.77,34.25,8.45,6.42,8.38,30.4,1.558,59.42,39.98,47.85,50.4,172293000,9/1/23,8/17/23
VIA,Common Stock,Via Renewables Inc,"On December 4, 2019, Viacom Inc. was acquired by CBS Corporation. The company is headquartered in New York, New York.",1606268,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,"12140 WICKCHESTER LANE, SUITE 100, HOUSTON, TX, US",December,6/30/23,64357000,10449000,None,None,13.44,1.812,0.353,-3.82,144.47,-0.0048,0.0014,0.0012,-0.142,459491000,108597000,-3.82,0.811,-0.059,None,-,-,0.431,1.429,0.548,8.72,1.098,36.16,5.81,8.12,19.03,3231100,3/15/23,2/28/23
ARW,Common Stock,Arrow Electronics Inc,"Arrow Electronics, Inc. provides products, services, and solutions to industrial and commercial users of electronic components and enterprise computing solutions in the Americas, Europe, the Middle East, Africa, and Asia Pacific. The company is headquartered in Centennial, Colorado.",7536,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC","9201 EAST DRY CREEK ROAD, CENTENNIAL, CO, US",December,6/30/23,6971184000,2034720000,6.27,0.884,100.36,0,0,19.98,595.17,0.0335,0.0516,0.0572,0.219,35840397000,4836625000,19.98,-0.256,-0.1,131.17,6.27,4.704,0.177,1.281,0.277,4.543,1.423,147.42,89.38,130.58,124.16,55663000,None,12/17/86
DYN,Common Stock,Dyne Therapeutics Inc,"Dyne Therapeutics, Inc., a muscle disease company, is a biotechnology company focused on advancing therapeutics for genetically-derived muscle diseases in the United States. The company is headquartered in Waltham, Massachusetts.",1818794,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"830 WINTER STREET, WALTHAM, MA, US",December,6/30/23,536370000,-192984000,None,0.19,3.391,0,0,-3.46,0,0,0,-0.411,-0.766,0,0,-3.46,0,0,29.5,-,-,-,2.237,-,-1.895,0.157,15.6,8.04,10.73,11.92,61020000,None,None
EME,Common Stock,EMCOR Group Inc,"EMCOR Group, Inc. provides electrical and mechanical installation and construction services in the United States. The company is headquartered in Norwalk, Connecticut.",105634,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"301 MERRITT SEVEN CORPORATE PK, 6TH FLOOR, NORWALK, CT, US",December,6/30/23,9916732000,793312000,21,1.32,44.93,0.66,0.0035,10.02,244.42,0.0413,0.0581,0.0769,0.238,11712237000,1603594000,10.02,0.482,0.125,237.5,21,-,0.645,3.818,0.682,11.39,1.112,227.5,115.34,214.95,175.06,47135000,7/31/23,7/19/23
OGN,Common Stock,Organon & Co,"Organon & Co. is an American pharmaceutical company headquartered in Jersey City, New Jersey. Organon specializes in the following core therapeutic fields: reproductive medicine, contraception, psychiatry, Hormone replacement therapy (HRT), and anesthesia. The company sells to international markets.",1821825,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"30 HUDSON STREET, FL 33, JERSEY CITY, NJ, US",December,6/30/23,5658275000,1716000000,7.51,None,-2.172,1.12,0.051,2.95,24.23,0.122,0.242,0.0864,0,6168000000,3889000000,2.95,0.03,0.015,31,7.51,5.03,1.143,1.843,2.397,8.06,0.768,31.28,16.43,21.59,24.08,255568000,9/14/23,8/17/23
MIO,Common Stock,Pioneer Municipal High Income Opportunities Fund Inc,None,1864290,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,April,10/31/21,172905000,None,None,None,None,0,0,-1.41,0,0,0,0,0,0,0,-1.41,0,0,None,-,-,-,0.79,-,-,None,11.57,8.9,10.67,10.79,16885300,None,8/17/23
CRWS,Common Stock,Crown Crafts Inc,"Crown Crafts, Inc. operates in the consumer products industry in the United States and internationally. The company is headquartered in Gonzales, Louisiana.",25895,NASDAQ,USD,USA,MANUFACTURING,"BROADWOVEN FABRIC MILLS, COTTON","916 SOUTH BURNSIDE AVENUE, GONZALES, LA, US",March,6/30/23,49045300,7658000,10.5,2.19,4.822,0.32,0.0663,0.46,7.55,0.0599,0.0839,0.0542,0.0958,76466000,23308000,0.46,-0.743,0.09,7.5,10.5,-,0.678,1.214,0.7,4.302,0.731,5.84,4.643,4.951,5.34,10154300,10/6/23,9/14/23
NIC,Common Stock,Nicolet Bankshares Inc.,"Nicolet Bankshares, Inc. is the bank holding company of Nicolet National Bank that offers banking products and services for businesses and individuals. The company is headquartered in Green Bay, Wisconsin.",1174850,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"111 N WASHINGTON ST, GREEN BAY, WI, US",December,6/30/23,1147106000,None,19.26,None,66.42,0.25,0.0129,4.04,17.64,0.234,0.356,0.0075,0.0658,255695000,286381000,4.04,-0.127,0.102,84.8,19.26,-,4.28,1.249,-,-,0.758,84.92,51.39,75.95,71.8,14740500,9/15/23,8/31/23
KNF,Common Stock,Knife River Corporation,"Knife River Corporation provides aggregates-based construction materials and contracting services in the United States. The company is headquartered in Bismarck, North Dakota.",1955520,NYSE,USD,USA,ENERGY & TRANSPORTATION,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),"1150 WEST CENTURY AVENUE, P.O. BOX 5568, BISMARCK, ND, UNITED STATES",December,0000-00-00,2863382000,None,24.64,None,None,None,None,2.354,0,0,0,0,0,0,0,0,0,0,None,-,-,-,-,-,-,None,53.26,33.67,0,0,57000000,None,None
ADM,Common Stock,Archer-Daniels-Midland Company,"The Archer-Daniels-Midland Company, commonly known as ADM, is an American multinational food processing and commodities trading corporation founded in 1902 and headquartered in Chicago, Illinois. The company operates more than 270 plants and 420 crop procurement facilities worldwide, where cereal grains and oilseeds are processed into products used in food, beverage, nutraceutical, industrial, and animal feed markets worldwide.",7084,NYSE,USD,USA,MANUFACTURING,FATS & OILS,"77 W. WACKER DR., CHICAGO, IL, US",December,6/30/23,40432812000,5088000000,10.06,16.43,46.53,1.7,0.0236,7.5,180.62,0.0415,0.0413,0.0439,0.167,99883999000,7570000000,7.5,-0.22,-0.077,99.08,10.06,14.45,0.514,2.124,0.604,9.31,0.829,96.49,69.55,81.5,80.38,536102000,9/8/21,8/15/23
MSI,Common Stock,Motorola Solutions Inc,"Motorola Solutions, Inc., is an American data communications and telecommunications equipment provider that succeeded Motorola, Inc., following the spinoff of the mobile phone division into Motorola Mobility in 2011. The company is headquartered in Chicago, Illinois.",68505,NYSE,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"500 W. MONROE ST., CHICAGO, IL, US",December,6/30/23,45469524000,2745000000,30.87,1.948,2.017,3.43,0.0129,8.82,57.67,0.157,0.243,0.122,0.253,9654000000,4394000000,8.82,0.617,0.123,312.8,30.87,23.53,4.928,-,5.73,24.42,0.922,297.55,210.02,282.62,277.06,167020000,10/13/23,9/14/23
PBT,Common Stock,Permian Basin Royalty Trust,"The Permian Basin Royalty Trust, an express trust, holds primary royalty interests in various oil and gas properties in the United States. The company is headquartered in Dallas, Texas.",319654,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,6/30/23,990437000,None,18.64,0,0.004,1.135,0.029,1.14,1.16,0.979,0.979,7.01,2.015,54072000,54466000,1.14,-0.217,-0.201,13,18.64,-,24.59,3433.98,24.82,25.37,0.904,27.54,16.35,22.18,23.69,46608800,10/16/23,9/28/23
GDYN,Common Stock,Grid Dynamics Holdings Inc,"Grid Dynamics Holdings, Inc., provides enterprise-grade digital transformation services for Fortune 1000 corporations in the United States and Central and Eastern European countries. The company is headquartered in San Ramon, California.",1743725,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"7660 FAY AVENUE, SUITE H, UNIT 339, LA JOLLA, CA, US",December,6/30/23,888216000,3126000,None,None,4.866,0,0,-0.25,4.367,-0.0586,-0.0125,-0.007,-0.0624,319159000,120590000,-0.25,0.941,0,13.33,-,131.58,2.791,2.39,1.986,-71.21,0.838,20.12,8,10.53,10.99,75336000,None,None
UTZ,Common Stock,Utz Brands Inc,"Utz Brands, Inc. is a snack food company. The company is headquartered in Hanover, Pennsylvania.",1739566,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,"200 PARK AVENUE, 58TH FLOOR, NEW YORK, NY, US",December,6/30/23,1230104000,101582000,758,None,8.48,0.225,0.015,0.02,17.69,0.0005,0.0132,0.0042,-0.0054,1431773000,443057000,0.02,-0.813,0.036,19.75,758,31.65,1.009,2.067,1.768,27.78,0.807,18.96,13.29,16.02,16.77,81141000,7/6/23,6/15/23
WBS,Common Stock,Webster Financial Corporation,"Webster Financial Corporation is the banking holding company for Webster Bank, a National Association that provides a variety of banking, investment, and financial services to individuals, families, and businesses in the United States. The company is headquartered in Waterbury, Connecticut.",801337,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"FRED SMITH, 132 GRAND STREET, WATERBURY, CT, US",December,6/30/23,6983909000,None,7.58,1.93,46.15,1.6,0.0404,5.32,14.73,0.367,0.554,0.0132,0.115,2548167000,2191950000,5.32,0.32,0.078,51.46,7.58,6.7,4.143,1.058,-,-,1.284,54.88,30.39,42.99,42.71,173255000,8/16/23,8/1/23
